 

stn;time;hto000y0
CHU;1959;1
CHU;1960;0
CHU;1961;2
CHU;1962;3
CHU;1963;6
CHU;1964;2
CHU;1965;2
CHU;1966;2
CHU;1967;2
CHU;1968;9
CHU;1969;3
CHU;1970;5
CHU;1971;3
CHU;1972;1
CHU;1973;4
CHU;1974;2
CHU;1975;1
CHU;1976;2
CHU;1977;1
CHU;1978;4
CHU;1979;1
CHU;1980;3
CHU;1981;11
CHU;1982;1
CHU;1983;2
CHU;1984;3
CHU;1985;2
CHU;1986;4
CHU;1987;4
CHU;1988;1
CHU;1989;0
CHU;1990;2
CHU;1991;1
CHU;1992;2
CHU;1993;2
CHU;1994;0
CHU;1995;2
CHU;1996;0
CHU;1997;0
CHU;1998;0
CHU;1999;5
CHU;2000;1
CHU;2001;1
CHU;2002;0
CHU;2003;1
CHU;2004;1
CHU;2005;4
CHU;2006;3
CHU;2007;0
CHU;2008;0
CHU;2009;1
CHU;2010;1
CHU;2011;1
CHU;2012;2
CHU;2013;1
CHU;2014;0
CHU;2015;1
CHU;2016;0
CHU;2017;1
CHU;2018;1
CHU;2019;2
CHU;2020;1
